Antilope,Les antilopes vivent       principalement en Afrique et en Asie,https://www.bestioles.ca/mammiferes/antilope.html
Anoas,L'anoa est un petit bovidé,https://www.bestioles.ca/mammiferes/anoas.html
Aye-aye,Le aye aye est une drôle de       petite bête,https://www.bestioles.ca/mammiferes/aye-aye.html
Belettes,La belette aime s'amuser,https://www.bestioles.ca/mammiferes/belettes.html
Bisons,Le bison est un animal en voie       d'extinction,https://www.bestioles.ca/mammiferes/bisons.html
Blaireau,"Le blaireau, animal omnivore en voie de       disparition",https://www.bestioles.ca/mammiferes/blaireau.html
Boeuf musqué,Les boeufs musqués sont des herbivores       des régions arctiques,https://www.bestioles.ca/mammiferes/boeuf-musque.html
Bongos,Le bongo est une grosse       antilope,https://www.bestioles.ca/mammiferes/bongo.html
Bouquetins,Le bouquetin a des cornes       qui poussent continuellement,https://www.bestioles.ca/mammiferes/bouquetins.html
Buffle du cap,Le buffle du cap est un animal       d'Afrique utilisé pour le travail,https://www.bestioles.ca/mammiferes/buffle-cap.html
Carcajou,"Le carcajou est un blaireau du Canada, animal sauvage dangereux",https://www.bestioles.ca/mammiferes/carcajou.html
Chacal,Le chacal un carnivore parfois charognard,https://www.bestioles.ca/mammiferes/chacals.html
Chameaux,Le chameau est une bête adaptée au       climat du désert,https://www.bestioles.ca/mammiferes/chameau.html
Chamois,Le chamois vit en montagne et produit       un cuir délicat,https://www.bestioles.ca/mammiferes/chamois.html
Chauve souris,La chauve-souris mammifère       nocturne,https://www.bestioles.ca/mammiferes/chauve-souris.html
Chèvre,La chèvre domestique est un animal de       la ferme,https://www.bestioles.ca/domestiques/chevres.html
Chèvre de montagne,Les chèvres de montagne sont des       animaux ruminants,https://www.bestioles.ca/mammiferes/chevre-montagnes.html
Chiens viverrins,Le chien viverin est un       canidé,https://www.bestioles.ca/mammiferes/chien-viverrin.html
Civettes,La civette est nocturne,https://www.bestioles.ca/mammiferes/civettes.html
Coati,Les coatis sont des animaux       omnivores,https://www.bestioles.ca/mammiferes/coati.html
Cobes,Les cobes sont des antilopes,https://www.bestioles.ca/mammiferes/cobes.html
Cochons,"On fait l'élevage du cochon,       ou porc, pour sa viande et son cuir",https://www.bestioles.ca/mammiferes/cochon.html
Coyote,"Le coyote, mammifère sauvage",https://www.bestioles.ca/mammiferes/coyote.html
Dik dik,Le dik dik est une antilope,https://www.bestioles.ca/mammiferes/dikdik.html
Dingo,Le dingo est un mammifère d'Australie       qui ressemble à un chien,https://www.bestioles.ca/mammiferes/dingos.html
Dromadaires,Le dromadaire est un ruminant       conditionné à la vie désertique,https://www.bestioles.ca/mammiferes/dromadaires.html
Elands,L'éland est une grosse       antilope d'Afrique,https://www.bestioles.ca/mammiferes/elands.html
Eléphant,Les éléphants sont les plus gros       mammifères terrestres,https://www.bestioles.ca/mammiferes/elephant.html
Fennec,Le fennec ressemble à un renard et vit       dans le désert,https://www.bestioles.ca/mammiferes/fennec.html
Fouines,La fouine extermine les rongeurs,https://www.bestioles.ca/mammiferes/fouines.html
